name,classification,actor,director,score,year
命运之夜 无限剑制 Sunny Day Fate/stay night [Unlimited Blade Works] Sunny Day,动画,"杉山纪彰,植田佳奈,川澄绫子",三浦貴博,7.2,2015
纪实72小时 赤羽 关东煮小店的悲歌 キュメント72時間 赤羽・おでん屋エレジー,纪录片,,西田尚美,8.6,2015
魔力月光 Magic in the Moonlight,"喜剧,爱情","艾玛·斯通,科林·费尔斯,马西娅·盖伊·哈登,杰基·韦佛,哈米什·林克莱特,艾琳·阿特金斯",伍迪·艾伦,7.1,2014
晓松奇谈,脱口秀,高晓松,高晓松,9.2,2014
"事故、错误和灾难 Accidents, Blunders and Calamities","喜剧,动画","Ryan Mullany,Finn O'Leary,Janet Kidd",James Cunningham,7.8,2015
美男高校地球防卫部LOVE 美男高校地球防衛部LOVE!,动画,"神谷浩史,安元洋贵,寺岛拓笃,梅原裕一郎,西山宏太朗,白井悠介,增田俊树,山本和臣,福山润,麦人",高松信司,7.0,2015
穹顶之下 第三季 Under the Dome Season 3,科幻,"迈克·沃格尔,蕾切尔·勒费夫尔,亚历山大·柯克,科林·福特,麦肯兹·林茨,迪恩·诺里斯,艾迪·卡希尔,格蕾丝·维多利亚·考克斯,马克西·艾里奇",彼得·威勒,5.8,2015
血婚新娘 La novia,剧情,"拉蒂西亚·多瑞拉,玛努艾拉·维丝,茵玛·奎斯塔,玛利亚·阿尔方萨·罗索,阿西叶·艾榭安迪亚,艾利克斯·加西亚",宝拉·奥提兹,5.3,2015
安魂曲 Requiem,"短片,奇幻",,"Ben McKinnon,Seb McKinnon",8.4,2015
擦枪走火,"喜剧,爱情","喻恩泰,倪虹洁,王景春,李锐,赵文琪,邱泽,曹云金,斯琴高娃,吴樾,钟思华",周伟,4.4,2015
搜神记,"惊悚,脱口秀",朱子奇,朱子奇,8.7,2015
罪恶 Talvar,"剧情,悬疑,惊悚","伊尔凡·可汗,康柯纳·森·沙尔玛,塔布,内拉吉·卡比,索姆·沙,普拉卡什·贝尔拉迪,什沙尔·夏尔马",梅克纳·古勒扎尔,7.4,2015
青春誓言 Testament of Youth,"剧情,传记,历史,战争","基特·哈灵顿,科林·摩根,艾丽西亚·维坎德,多米尼克·威斯特,艾米丽·沃森,米兰达·理查森,塔伦·埃格顿,安娜·钱斯勒,乔纳森·贝利,夏洛特·霍普,艾米莉·贝文,乔安娜·斯坎伦,泽维尔·阿特金斯,Amanda Fairbank-Hynes,海莉·阿特维尔,特蕾莎·邱吉尔",詹姆斯·肯特,6.9,2014
迷人的保姆 매력적인 가정부의 은밀한 손터치,"爱情,情色",,백두산,3.1,2013
蝴蝶：成人世界 나비 : 어른들의 일,"剧情,爱情,同性","유승원,유동현,임영덕",백인규,4.6,2015
张保仔,"剧情,喜剧,动作,爱情,科幻,历史","洪永城,陈展鹏,陈凯琳,傅嘉莉,邵美琪,黄智雯,陈山聪,姚子羚,杨明,朱璇,蒋志光,金刚,岳华,罗乐林,刘江,龚嘉欣,谢雪心,李成昌,姚嘉妮,乐瞳,陈志健,杨潮凯,黄嘉乐,陈嘉辉,李天翔,郑敬基",梁材远,5.7,2015
吹响悠风号 TV未放送回 響け！ユーフォニアム かけだすモナカ,"喜剧,爱情,动画,音乐","黑泽朋世,朝井彩加,丰田萌绘,安济知佳",石原立也,8.9,2015
群居姐妹 だんちがい,"喜剧,动画","明坂聪美,小松未可子,德井青空,堀野纱也加,阿部敦",木村寛,6.3,2015
爱的碰撞 Love Tap,"喜剧,爱情","Will Bowles,Lincoln Hoppe,Sara Rehnmark,Alexis Wolfe",Michael Goode,7.3,2008
隔壁的男孩 The Boy Next Door,惊悚,"詹妮弗·洛佩兹,克里斯汀·肯诺恩斯,瑞安·古兹曼,约翰·考伯特,伊恩·尼尔森,亚当·希克斯,希尔·哈勃,特拉维斯·舒德特,拉克尔·加德纳,莱克西·阿特金斯,Bailey Chase,Kent Avenido,杰克·华莱士,Brian Mahoney",罗伯·科恩,5.1,2015
双生灵,"悬疑,惊悚","车艺莲,常奕然,刘佳佳,刘冠麟,尹菲",秦榛,3.4,2015
特警力量,剧情,"安雅萍,徐洪浩,任天野,王妍之,傅程鹏",刘猛,5.0,2015
圣诞时光之旅 Just in Time for Christmas,喜剧,"艾洛斯·慕福特,迈克尔·斯塔尔·大卫,克里斯托弗·洛伊德,威廉·夏特纳,Tess Atkins",肖恩·麦克纳马拉,6.3,2015
瑞奇和闪电 Ricki and the Flash,"剧情,喜剧,音乐","梅丽尔·斯特里普,凯文·克莱恩,麦米·古默,奥德拉·麦克唐纳,塞巴斯蒂安·斯坦,瑞克·斯普林菲尔德,本·普拉特,莉萨·乔伊斯,夏洛特·瑞,亚当·舒尔曼,比尔·欧文,利普丽·索博",乔纳森·戴米,6.3,2015
笑傲江湖 第二季,真人秀,,朱慧,7.2,2015
今天的恋爱 오늘의 연애,"喜剧,爱情","李昇基,文彩元,李瑞镇,郑俊英",朴珍杓,5.8,2015
不足一个 Less Than One,短片,"Samantha Jayne,Tim Brown",Arturo Perez,7.0,2013
小黄人番外篇：疯狂小黄人 Minions: Mini-Movie - Cro Minion,"喜剧,动画,短片","皮艾尔·柯芬,克里斯·雷纳德,塔拉·斯特朗","Régis Schuller,Didier Ah-Koon",6.8,2015
夜班 Night Shift,"剧情,动作,犯罪","林文龙,林嘉华,汤怡,郭锋,冼灏英,姜皓文,梁宝琪,麥子樂,菁玮,胡烱龍,陈诗慧,江暉,林熹瞳,周子龍,骆应钧","陸天華,黄国辉",7.1,2013
镜花水月 第一季 UnReal Season 1,剧情,"施瑞·阿普莱碧,纳塔莉·凯利,艾什丽·斯科特,康斯坦斯·齐默,乔安娜·布拉迪,格内维夫·布彻纳,布伦南·埃利奥特,乔什·凯利,弗雷迪·史卓玛,弗兰西娅·莱莎,克里斯蒂·莱恩,杰弗里·鲍耶-查普曼,Siobhan Williams,布瑞达·伍尔,Melissa Marie Elias,Andrea Brooks","罗杰·昆宝,Lev L. Spiro",7.6,2015
偏偏喜欢你,"剧情,爱情","陈乔恩,贾乃亮,郑爽,黄宗泽,张云龙,许绍雄,李子峰,高伟光,谭俊彦,赵久毅,郑龙,徐麒丰,张宁江",吴锦源,5.4,2015
宠物：内心狂野 Pets - Wild at Heart,纪录片,大卫·田纳特,John Downer,9.1,2015
血液 블러드,"剧情,爱情,科幻","安宰贤,具惠善,池珍熙,权贤相",奇民洙,6.2,2015
在蒂凡尼吃早餐 第1季 いつかティファニーで朝食を,,"特林德尔·玲奈,森宽和,新木优子,德永绘里","中茎強,御法川修,久保田充",6.7,2015
霓虹牛 Boi Neon,剧情,"Juliano Cazarré,Maeve Jinkings",加布里埃尔·马斯卡罗,6.5,2015
按摩总理 2 Prime MILF 2,"剧情,动作,悬疑,冒险","朱莉·安妮,菲尼斯·玛丽,詹姆斯·迪恩,曼努埃尔·费拉拉,布里奇特,Nina Elle,Steve Holmes,Ramon Nomar",William H. Pine,,2015
黑色孤儿 第三季 Orphan Black Season 3,"剧情,动作,科幻",,"格雷姆·曼森,约翰·福西特",8.6,2015
我的邻居是吸血鬼 뱀파이어는 우리 옆집에 산다,短片,"池晟,朴素丹",林常树,7.5,2015
浪客剑心：京都大火篇 るろうに剣心 京都大火編,"动作,古装","佐藤健,武井咲,青木崇高,苍井优,大八木凯斗,福山雅治,江口洋介,伊势谷友介,土屋太凤,藤原龙也,神木隆之介,田中泯,宫泽和史,泷藤贤一,三浦涼介,高桥玛莉润",大友启史,7.7,2014
爱别自有方 Like You Mean It,"爱情,同性","菲利浦·卡纳,Gabrielle Sherman,Kathy Deitch,阿德里安·奎诺内斯,Claudia Graf,Denver Milord",菲利浦·卡纳,6.9,2015
郊游 郊遊,剧情,"李康生,陆弈静,陈湘琪,杨贵媚,李奕䫆,李奕婕",蔡明亮,7.1,2013
谈心 The Talk,"喜剧,短片","Isabella Crovetti-Cramp,John Hoogenakker",Joe Otting,6.7,2015
REPLAY & DESTROY,"剧情,喜剧","山田孝之,林遣都,阿部进之介,小林凉子,中村伦也",飯塚健,8.5,2015
豆腐 Tofu,"纪录片,短片","弗莱迪·福克斯,安德鲁·海登·史密斯,茱莉‧赫斯姆德哈尔格,飞塞友·阿金那德,维森特·富兰克林,Rufus Hound,杰克·巴斯,马克斯·赖德",Benjamin Cook,7.6,2015
天空之蜂 天空の蜂,惊悚,"江口洋介,本木雅弘,仲间由纪惠,绫野刚,柄本明,国村隼,石桥莲司,竹中直人,向井理,佐藤二朗,光石研,落合扶树,矢部享佑,手塚通,永濑匡,石桥桂,松岛花,松田悟志,森冈丰",堤幸彦,6.4,2015
村庄：阿雉阿拉的祕密 마을 - 아치아라의 비밀,惊悚,"文根英,张熙珍,安瑞贤,申恩庆,温宙完,陆星材",李容锡,7.2,2015
第二次二十岁 두 번째 스물,爱情,"金承佑,李泰兰",朴兴识,7.0,2015
不可思异,"剧情,喜剧,科幻","王宝强,小沈阳,大鹏,尹正,成毅,辛芷蕾",孙周,3.8,2015
父女情 Fathers and Daughters,"剧情,家庭","罗素·克劳,阿曼达·塞弗里德,亚伦·保尔,黛安·克鲁格,瑞安·艾戈尔德,简·方达,奎文赞妮·瓦利斯,布鲁斯·格林伍德,奥克塔维亚·斯宾瑟,珍妮·麦克蒂尔,凯莱·罗杰斯,琳赛·伊丽莎白,布伦丹 · 格里芬",加布里尔·穆奇诺,7.2,2015
生活大爆炸 第八季 The Big Bang Theory Season 8,喜剧,"吉姆·帕森斯,约翰尼·盖尔克奇,凯莉·库柯,西蒙·赫尔伯格,昆瑙·内亚,马伊姆·拜力克,梅丽莎·劳奇,比利·鲍伯·松顿,凯文·苏斯曼 Kevin Sussman,雷吉娜·金,布莱恩·乔治,劳拉·斯宾塞,威尔·惠顿,劳里·梅特卡夫,克里斯汀·芭伦斯基",马克·森卓斯基,8.9,2014
我去上学啦 第一季,真人秀,,"钟汉良,蒋劲夫,孙艺洲,张凯丽,康倩雯,任家萱,辰亦儒,郭采洁,叶青,蒋欣,白凯南",7.1,2015
朝鲜魔术师 조선마술사,爱情,"俞承豪,高雅拉,郭度沅,赵允熙,李璟荣,朴哲民,孙秉浩,赵达焕",金大胜,5.4,2015
要爸还是妈 Papa ou maman,"剧情,喜剧,爱情","罗兰·拉斐特,玛琳娜·佛伊丝,安乐妮,朱迪斯·厄尔·泽恩,米歇尔·维耶尔莫,迈克尔·阿比特波,Anna Lemarchand",马丁·布尔布隆,6.4,2015
1995穿越时间 2538 อัลเทอร์มาจีบ,"喜剧,爱情,音乐",,Yanyong Kuruaungkoul,5.6,2015
七月半之恐怖宿舍,"悬疑,惊悚","余心恬,翟子陌,马元,付曼,陈美行,徐歉,孔铭,戴子翔,彭骞,梁立文",杜潇傲,3.3,2015
在地下城寻求邂逅是否搞错了什么 ダンジョンに出会いを求めるのは間違っているだろうか,"动画,奇幻,冒险","松冈祯丞,水濑祈,大西沙织,内田真礼,日笠阳子,户松遥,石上静香,久保由利香,早见沙织,西明日香,洲崎绫",山川吉樹,7.2,2015
天使之刃 天使のナイフ,"剧情,悬疑","小出惠介,仓科加奈,若村麻由美,手塚通,和田正人,千叶雄大,藤本泉,町田启太,村上虹郎,北村匠海,清水寻也",永山耕三,7.9,2015
副总统 第四季 Veep Season 4,喜剧,"茱莉亚·路易斯-德瑞弗斯,安娜·克鲁姆斯基,马特·沃尔什,苏芙·布莱德肖,托尼·海尔, 瑞德·斯科特,蒂莫西·西蒙斯",克里斯·艾迪生,9.2,2015
中国好歌曲 第二季,"音乐,真人秀",,沈宁,8.4,2015
德国八三年 Deutschland 83,剧情,"亚历山大·贝叶尔,桑雅·杰哈特,西尔维斯特·格罗斯,乌尔里希·诺登,玛丽亚· 施拉德,路德维格.特内普特,丽莎·托马舍夫斯基,约纳斯·奈伊","爱德华·贝尔格,Samira Radsi",8.0,2015
开始 The Beginning,"剧情,短片,同性","佩德罗·科利亚,乔什·多尔蒂,科迪·斯力克",梅兰妮·麦格劳,7.2,2015
血光光五人帮：传说 GONIN サーガ,动作,"东出昌大,桐谷健太,土屋安娜,柄本佑,安藤政信,竹中直人,福岛莉拉,井上晴美,镰田小惠子,松本若菜,菅田俊,井坂俊哉",石井隆,5.4,2015
第四十九届超级碗 Super Bowl XLIX,运动,,"Bill Belichick,Pete Carroll,Tom Brady,Russell Wilson,Marshawn Lynch,Rob Gronkowski,Julian Edelman,Richard Sherman,Malcolm Butler,Chris Matthews",9.2,2015
黑猫警长之翡翠之星,"喜剧,动作,科幻,动画","赵路,吴天昊,林子杰,刘莹,程玉珠,李传缨,詹佳,陶典,施佳加,于胜军,戴佳峄,戴超航,刘圣博,殷筱瑜,张彦东,张拯,关睿,史学刚","于胜军,史学刚,青松,施屹",5.1,2015
复仇者格林 avengers grimm,"动作,科幻,冒险",,Jeremy M. Inman,3.4,2015
姐妹情室 자매의 방,情色,,Han Dong-ho,3.5,2015
阿罗哈 Aloha,"剧情,喜剧,爱情","布莱德利·库珀,艾玛·斯通,瑞秋·麦克亚当斯,比尔·默瑞,约翰·卡拉辛斯基,丹尼·麦克布耐德,亚历克·鲍德温,比尔·坎普,杰顿·李博赫,丹妮尔·罗丝·拉塞尔,迈克尔·切鲁斯,艾迪·盖瑟吉,伊丽莎白·玛维尔,伊万娜·米利塞维奇",卡梅伦·克罗,5.7,2015
兰陵王妃,"剧情,古装","张含韵,彭冠英,陈奕,华娇,王洁曦,林韦辰,田丽,张子文,沈建宏,张晓晨,刘帅良,赵秦,傅颖,龚海铭",叶昭仪,6.0,2016
美国梦之安魂曲 Requiem for the American Dream,"纪录片,传记",诺姆·乔姆斯基,"皮特·D·哈奇森,凯利·尼克斯",8.7,2015
少年四大名捕,"奇幻,武侠,古装","张翰,何晟铭,张钧甯,杨洋,茅子俊,陈伟霆,吴映洁,贾青,周牧茵,钱泳辰,马文龙,郑爽","梁胜权,黄俊文",4.0,2015
那家伙 그놈이다,惊悚,"周元,柳海真,李裕英,柳慧英,李俊赫,金英熊",尹俊迥,5.4,2015
一路向前,喜剧,"陈赫,姚星彤,常远,陆海涛,张颂文,张佑赫,赵奕欢",侯亮,3.6,2015
有我在这里 I'm Here,"爱情,同性","吴维峰,王林,王雪晶,李赛,刘雅然",吴维峰,7.3,2015
花样姐姐 第一季,真人秀,,李根昱,7.0,2015
前女友俱乐部 구여친클럽,"喜剧,爱情","宋智孝,卞耀汉,李允芝,张智恩,柳和荣",权锡章,6.5,2015
鬼灯的冷彻 OAD1 鬼灯の冷徹 「マニアと非マニアの温度差/コンコン野干 大判小判」,"喜剧,动画,鬼怪","安元洋贵,长嶝高士,平川大辅,小林由美子,後藤ヒロキ,松山鹰志,柿原徹也,青山桐子,种崎敦美,喜多村英梨,上坂堇,游佐浩二,细谷佳正,佐藤聡美,小仓唯,諏訪彩花",镝木宏,8.7,2015
Hello!! 黄金拼图 ハロー!! きんいろモザイク,"喜剧,动画","田中真奈美,西明日香,东山奈央,种田梨沙,内山夕实,佐藤聪美,田村由加莉,大西沙织,诹访彩花,潘惠美,村川梨衣",天衝,8.0,2015
绑匪的女儿 翳りゆく夏,"悬疑,犯罪","渡部笃郎,时任三郎,门胁麦,菅田将晖,岩松了,泷藤贤一,葵若菜,岩本多代,戸田昌宏,岛田久作,前田敦子,森口瑶子,鹤田真由,木場勝己,中田喜子,佐藤B作,板谷由夏,桥爪功",波多野貴文,8.3,2015
关于一个女孩 About a Girl,"剧情,喜剧","贾斯娜·弗里茨·鲍尔,海克·玛卡琪,西蒙·舒瓦茨,多萝西娅·瓦达,桑德罗·洛曼,海克·科斯洛夫斯基,霍斯特·扎赫特勒本,迈克尔·根帕,延斯·彼得·努勒曼",马克·蒙海姆,7.4,2014
血染淑女 Lady Bloodfight,"剧情,动作","Amy Johnston,Jenny Wu,Muriel Hofmann",克里斯·纳汉,5.7,2015
痴,"剧情,纪录片",,邱炯炯,8.5,2015
美国谍梦 第三季 The Americans Season 3,"剧情,悬疑,惊悚,犯罪","凯丽·拉塞尔,马修·瑞斯,安内特·莫翰德鲁,苏珊·米斯纳尔,科斯塔·罗宁,霍莉•泰勒,理查德·托马斯,艾莉森·赖特,诺亚·艾默里奇,吉丽安·阿莱克西,拉胡尔·康纳,斯科特·威廉姆·文特斯,Lev Gorn,Keidrich Sellati,Brandon J. Dirden","丹尼尔·沙克海姆,托马斯·施拉梅,诺亚·艾默里奇,拉尔沙·康达基,凯文·唐林,丹尼尔·艾提奥斯,斯蒂芬·威廉姆斯,Andrew Bernstein,克里斯托弗·马西阿诺",8.6,2015
秘境广西,纪录片,,"陈晓卿,杨小肃",7.7,2015
举报者 제보자,剧情,"朴海日,柳演锡,柳贤静,宋昰昀,李璟荣",林顺礼,7.3,2014
处女之誓 Vergine giurata,剧情,"阿尔芭·洛尔瓦彻,拉斯·艾丁格,艾米丽·芙拉泰洛",Laura Bispuri,7.1,2015
相棒 第14季 相棒 season14,"悬疑,犯罪","水谷丰,反町隆史,铃木杏树,石坂浩二",和泉圣治,8.2,2015
鲨鱼 BBC: Shark,纪录片,,steve greenwood,9.6,2015
乱步奇谭：拉普拉斯的游戏 乱歩奇譚 Game of Laplace,"动画,悬疑,犯罪","櫻井孝宏,高橋李依,山下大輝,小西克幸,チョー,子安武人,日笠陽子,藤田咲,山口勝平,福山潤",岸诚二,5.8,2015
同乐会 同樂會,"剧情,爱情,同性","利晴天,布鲁斯,刘奕儿,黄姵嘉,谢沛恩,陈景炀",林子平,7.3,2015
分手再说我爱你,"喜剧,爱情","方力申,邓丽欣,李丽珍,邵仲衡,张继聪,唐宁,盛朗熙,林盛斌,陈秀珠,姜丽文,陈嘉宝,恭硕良,蔡洁,石修,邵音音,王梓轩",叶念琛,6.5,2015
日本：地球迷人之岛 Japan: Earth’s Enchanted Islands,纪录片,,Gavin Maxwell,9.1,2015
七天：德国铁路 7 Tage... Deutsche Bahn,纪录片,,"Benjamin Arcioli,Tobias Lickes",7.6,2015
极速前进 第二季,"冒险,真人秀",,朱玲,6.5,2015
欢迎来我家 ようこそ、わが家へ,剧情,"相叶雅纪,泽尻英龙华,有村架纯,佐藤二朗,足立梨花,藤井流星,高田纯次,南果步,寺尾聪",中江功,7.6,2015
凶宅异闻录 The Enfield Haunting,悬疑,"Matthew Macfadyen,Juliet Stevenson,Timothy Spall",Kristoffer Nyholm,6.4,2015
我是谁：没有绝对安全的系统 Who Am I - Kein System ist sicher,"悬疑,惊悚,犯罪","汤姆·希林,埃利亚斯·穆巴里克,沃坦·维尔克·默林,汉娜·赫斯普朗,崔娜·迪斯霍尔姆,李奥那多·卡劳,Antoine Monot Jr.,Leopold Hornung,Katharina Matz,阿尔恩特·施韦林·索瑞",巴伦·博·欧达尔,8.0,2014
偶像来了,真人秀,,"林青霞,朱茵,蔡少芬,宁静,杨钰莹,赵丽颖,谢娜,张含韵,欧阳娜娜,古力娜扎,何炅,汪涵,袁弘,奚梦瑶",6.4,2015
Lying Man 第一季,真人秀,,"DC,少帮主,2009,PDD,Lilith,老鼠,毕游侠,董重,JY,雪妍,Mint,Comm,昊凯,Along",8.6,2015
尼克病院 第二季 The Knick Season 2,剧情,"克里夫·欧文,Arielle Goldman,Rob Stats,伊芙·休森",史蒂文·索德伯格,9.2,2015
全美超模大赛 第二十二季 America's Next Top Model Season 22,真人秀,,"提拉·班克斯,Mamé Adjei,Ava Capra,Stefano Churchill,Devin Clark,Nyle DiMarco,Delanie Dischert,Courtney DuPerow,Michael Heverly,Justin Kim,Dustin McNeer,Ashley Molina,Nimi,Hadassah Richardson,Lacey Rogers",6.8,2015
凡人与超人 National Theatre Live: Man and Superman,戏曲,"拉尔夫·费因斯,因迪拉·瓦玛,克里·约翰逊,科林·黑格,尼克·亨德里克斯,尼古拉斯·勒·普雷沃斯特,蒂姆·迈克穆兰",西蒙·戈德温,9.3,2015
日暮之歌 Sunset Song,剧情,"阿格妮丝·迪恩,彼得·穆兰,凯文·格思里,伊恩·皮里,罗恩·多纳基,丹妮拉·纳尔迪尼,尼尔·格雷格·富尔顿",特伦斯·戴维斯,6.1,2015
大国工匠,纪录片,,,9.1,2015
高山上的夏尔巴人 Sherpa,纪录片,"phurba tashi,Karma Doma Sherpa,Russell Brice",Jennifer Peedom,8.0,2015
长城：中国的故事,纪录片,,梁仁红,7.9,2013
磁带女孩 カセットガール,"动画,短片","林原惠美,山寺宏一",小林浩康,7.9,2015
莫非，这就是爱情 莫非，這就是愛情,爱情,"唐禹哲,李佳颖,简宏霖,王思平","叶天伦,李青蓉",7.2,2015
星语心愿之再爱,爱情,"王传君,董维嘉,陈亦飞,戚九洲,李佑晨,吴岱融",邓科,6.0,2015
童话法庭 昔話法廷,,,今井雅子,6.6,2015
机动战士高达 THE ORIGIN II 悲伤的阿尔黛西亚 機動戦士ガンダム THE ORIGIN II 哀しみのアルテイシア,"剧情,动画,战争","池田秀一,潘惠美,浦山迅,喜山茂雄,银河万丈,泽城美雪,三宅健太,茶风林,渡边明乃,恒松步,一条和矢,古谷彻,藤村步,关俊彦,大塚明夫",今西隆志,8.8,2015
百元之恋 百円の恋,剧情,"安藤樱,新井浩文,稻川实代子,早織,宇野祥平,坂田聡,沖田裕樹,吉村界人,松浦慎一郎,伊藤洋三郎,重松収,根岸季衣",武正晴,8.3,2014
恋仲,剧情,"福士苍汰,本田翼,野村周平,太贺,大原樱子,大友花恋,市川由衣,山本美月,新川优爱,马场园梓,前野朋哉,永井大,吉田羊,小林薰","金井紘,宮木正悟",5.6,2015
女子监狱 第三季 Orange Is the New Black Season 3,"剧情,犯罪","泰勒·席林,劳拉·普莱潘,奥卓·阿杜巴,丹尼尔·布鲁克斯,娜塔莎·雷昂,凯特·穆格鲁,雅艾尔·斯通,鲁比·罗丝",安德鲁·麦卡锡,8.3,2015
极品老妈 第三季 Mom Season 3,喜剧,"艾莉森·珍妮,安娜·法瑞丝,赛迪·卡尔瓦诺,布莱克·加列特·罗森索,咪咪·肯尼迪","泰德·瓦斯,詹姆斯·维度斯",8.7,2015
少数意见 소수의견,剧情,"尹继尚,金玉彬,柳海真,李璟荣,张光",金成宰,7.0,2015
和谐 ハーモニー,动画,"泽城美雪,上田丽奈,洲崎绫,榊原良子,大塚明夫,三木真一郎","なかむらたかし,Michael Arias",7.0,2015
第68届英国电影学院奖 The British Academy Film Awards 2015,真人秀,,"斯蒂芬·弗雷,艾米·亚当斯,大卫·贝克汉姆,本尼迪克特·康伯巴奇,汤姆·克鲁斯,帕特丽夏·阿奎特,史蒂夫·卡瑞尔,亨利·卡维尔,娜塔莉·多默尔,杰西·艾森伯格,克里斯·埃文斯,拉尔夫·费因斯,马丁·弗瑞曼,马修·古迪,伊桑·霍克,史蒂芬·霍金,汤姆·希德勒斯顿,菲丽希缇·琼斯,迈克尔·基顿,凯拉·奈特莉,詹姆斯·麦卡沃伊,朱丽安·摩尔,爱德华·诺顿,埃迪·雷德梅恩,马克·鲁弗洛,安德鲁·斯科特,J·K·西蒙斯,杰克·奥康奈尔",8.1,2015
警报：刑警·女友·完全恶女 サイレーン 刑事×彼女×完全悪女,犯罪,"松坂桃李,木村文乃,菜菜绪,北山宏光,高田翔,西尾宇宙,要润,山口纱弥加,光石研,大杉涟,船越英一郎","本橋圭太,白木啓一郎",7.8,2015
潘多拉 판도라,"剧情,惊悚,灾难","金南佶,金珠贤,郑镇荣,金英爱,文晶熙,金大明,李璟荣,姜信日,刘承睦,金明民",朴正祐,7.4,2016
午夜巴士,"悬疑,惊悚,恐怖","王琳,陶燕青,王小虎,徐天琪,兰继洲,鲍振江,刘文龙",李科,,2015
探灵档案,"悬疑,惊悚","马浴柯,吴昕,潘粤明,王景春,莫小棋,朱雨辰,洪天明,陈国坤",彭发,4.1,2015
图书馆战争2：最后的任务 図書館戦争 -THE LAST MISSION-,"剧情,动作,科幻","冈田准一,荣仓奈奈,田中圭,福士苍汰,西田尚美,桥本润,土屋太凤,松坂桃李,栗山千明,石坂浩二,中村苍,铃木达央",佐藤信介,7.1,2015
不和谐音 Dissonance,剧情,,Till Nowak,7.8,2015
影鳄 影鰐-KAGEWANI-,"动画,恐怖,短片","杉田智和,置鲇龙太郎",高嶋友也,7.9,2015
坏宝贝 Nasty Baby,"剧情,同性,犯罪","塞巴斯蒂安·席尔瓦,克里斯汀·韦格,Tunde Adebimpe,雷格·E.凯蒂,马克·马戈利斯,阿莉雅·肖卡特,奥古斯汀·席尔瓦,莉莉亚斯·惠特,安东尼·奇泽姆,玛莎·斯蒂芬妮·布莱克,威廉·沃特金斯,康斯坦斯·舒尔曼,尼尔·哈夫",塞巴斯蒂安·席尔瓦,6.4,2015
梵蒂冈录像带 The Vatican Tapes,"惊悚,恐怖","杰曼·翰苏,凯瑟琳·罗伯特森,迈克尔·佩纳,多格雷·斯科特,迈克尔·帕尔,约翰·帕特里克·阿梅多利,丹尼尔·伯哈特,奥利维亚·泰勒·达德利,彼得·安德森,卡斯·安瓦尔,布鲁诺·冈恩,肯特·绍克内克,梅尔·法尔,Noemi Gonzalez,Tehmina Sunny",马克·耐沃尔代,4.9,2015
音乐的秘密,纪录片,"梁欢,韦伟,曾宇,李泳彬,刘恒,章谋圣,段小林,李琪,刘效松,周天澈,伍子轩,全相彦",梁欢,8.3,2015
美人鱼,"喜剧,爱情,奇幻","邓超,罗志祥,张雨绮,林允,徐克,吴亦凡,李尚正,卢正雨,白客,孔连顺,田启文,文章,杨能,张美娥,李叶青,林子聪",周星驰,6.9,2016
狐妖小红娘剧场版：下沙,动画,"杨天翔 Tianxiang Yang,刘校妤,乔诗语",王昕,7.9,2015
深夜的红酒 คืนนั้น,"剧情,同性",,Tanwarin Sukkhapisit,4.8,2015
河,剧情,"央金拉姆,格日才旦",松太加,7.5,2015
Glue,"爱情,短片",Peter Williams,Bo Mirosseni,5.8,2015
屌丝女士 第四季 Knallerfrauen Season 4,喜剧,,马尔科·穆斯恩科,8.0,2015
全面失业 De Arbetslösa,"动作,短片",,Christoffer Nordenrot,7.1,2015
模仿游戏 The Imitation Game,"剧情,同性,传记,战争","本尼迪克特·康伯巴奇,凯拉·奈特莉,马修·古迪,罗里·金奈尔,艾伦·里奇,马修·比尔德,查尔斯·丹斯,马克·斯特朗,詹姆斯·诺斯科特,汤姆·古德曼-希尔,史蒂芬·威丁顿,伊兰·古德曼,杰克·塔尔登,埃里克斯·劳瑟,杰克·巴农",莫滕·泰杜姆,8.5,2014
极限挑战 番外篇 终极之战,真人秀,,"任静,严敏",6.1,2015
中国惊奇先生2015,"剧情,动画","谢添天,夏磊,沈达威",李豪凌,7.0,2015
家庭责任 Familie verpflichtet,喜剧,"马克西米连·冯·普芬多夫,奥马尔·艾尔-赛迪,莫丽·考依曼,Ramin Yazdani,Franziska Brandmeier,Nikola Kastner,Kristin Hunold,Hendrik von Bültzingslöwen,Corny Littmann,Michael Prelle,Lilay Huser,Patrick Heyn,Nicole Marischka,Hendrik Massute,Ulas Kilic",Hanno Olderdissen,7.4,2015
银河街道 ギャラクシー街道,"喜剧,科幻","香取慎吾,绫濑遥,优香,梶原善,远藤宪一,小栗旬,秋元才加,阿南健治,西川贵教,段田安则,浅野和之,山本耕史,田村梨果,石丸干二,大竹忍,西田敏行",三谷幸喜,5.6,2015
监狱学园 監獄学園-プリズンスクール-,喜剧,"中川大志,山崎纮菜,森川葵,護あさな,ガリガリガリクソン,武田玲奈,新木优子,矢野圣人,柄本时生,高岛政宏",井口升,6.8,2015
科比的缪斯 Kobe Bryant's Muse,"纪录片,传记,运动","科比·布莱恩特,拉里·伯德,德里克·费舍尔,魔术师约翰逊,迈克尔·乔丹,杰里·韦斯特,John S. Battle,卡里姆·阿卜杜尔-贾巴尔,Chick Hearn,丹尼斯·约翰逊,Vanessa Laine Bryant,Stephen A. Smith",Gotham Chopra,9.1,2015
