name,classification,actor,director,score,year
超感猎杀 第一季 Sense8 Season 1,"剧情,科幻","米格尔·安赫尔·西尔维斯特,杰米·克莱顿,布莱恩·J·史密斯,裴斗娜,阿梅尔·艾米恩,塔彭丝·米德尔顿,马克思·雷迈特,蒂娜·德赛,弗莉玛·阿吉曼,纳威恩·安德利维斯,达丽尔·汉纳,豪威·约翰逊,亚当·沙皮罗,拉里·克拉克,克里斯蒂安·奥列佛,乔·潘托里亚诺,马克思·马福","莉莉·沃卓斯基,拉娜·沃卓斯基,汤姆·提克威,詹姆斯·麦克特格,丹·格拉斯",8.7,2015
超新约全书 Le tout nouveau testament,"喜剧,奇幻","贝诺瓦特·波勒沃赫德,凯瑟琳·德纳芙,弗朗索瓦·达密安,友兰达·梦露,皮利·格劳恩,劳拉·薇琳顿,西格·拉维艾尔,约翰·雷森,马可·罗伦兹尼,多米尼克·阿贝尔,薇薇安·德·莫恩科,约翰·海尔登贝格,帕斯卡·杜奎奈,哈里·克莱文,安妮-玛丽·卢珀",雅克·范·多梅尔,7.9,2015
杀破狼2 殺破狼2,"剧情,动作,犯罪","吴京,托尼·贾,张晋,任达华,卢惠光,恭硕良,林嘉华,蔡瀚亿,艾威,姜皓文,张驰,寇占文,古天乐,袁嘉敏",郑保瑞,7.3,2015
碟中谍5：神秘国度 Mission: Impossible - Rogue Nation,"动作,惊悚,冒险","汤姆·克鲁斯,杰瑞米·雷纳,西蒙·佩吉,丽贝卡·弗格森,文·瑞姆斯,西恩·哈里斯,西蒙·迈克伯尼,张静初,汤姆·霍兰德,延斯·赫尔腾,亚历克·鲍德温,亚历克·乌特戈夫,赫敏·科菲尔德,阿美莉嘉·奥利沃,拉斯科·阿特金斯,肖恩·克罗宁,明格斯·约翰斯顿",克里斯托弗·麦奎里,7.7,2015
实习生 The Intern,喜剧,"罗伯特·德尼罗,安妮·海瑟薇,蕾妮·罗素,安德雷斯·霍尔姆,乔乔·库什纳,安德鲁·兰内斯,亚当·德维尼,扎克·珀尔曼,杰森·奥利,克里斯蒂娜·谢勒,纳特·沃尔夫,琳达·拉文,西利亚·维斯顿,史蒂夫·维诺维奇,玛丽·凯·普莱斯,德瑞娜·德尼罗",南希·迈耶斯,7.6,2015
滚蛋吧！肿瘤君,"喜剧,爱情","白百何,吴彦祖,李媛,刘芮麟,程伊,刘莉莉,李建义,张子萱,沈腾",韩延,7.5,2015
羞耻 第一季 Skam Sesong 1,剧情,"约瑟芬·弗里达·佩特森,伊曼·迈基尼,丽莎·泰格,塔利亚·桑德维克·莫尔,乌莉卡·法尔希,马龙·朗格兰,托马斯·海耶斯,Ina Svenningdal,Herman Tømmeraas,Carl Martin Eggesbø,Cecilie Martinsen",朱莉·安德姆,8.3,2015
一个叫欧维的男人决定去死 En man som heter Ove,剧情,"罗夫·拉斯加德,巴哈·帕斯,托比亚斯·阿姆博瑞,菲利普·伯格,安娜-莱娜·布伦丁,博瑞·伦贝里,埃达·英格薇,弗雷德里克·埃弗斯,玛德琳·雅各布松,查特里娜·拉松,杰克尔·法尔斯特伦",汉内斯·赫尔姆,8.7,2015
"杀了我治愈我 킬미, 힐미","剧情,喜剧,爱情","池晟,黄静茵,朴叙俊,金釉利,吴闵硕",金镇万,8.8,2015
你是谁 - 学校2015 후아유 - 학교 2015,剧情,"金所炫,南柱赫,陆星材","白尚勋,李应福",7.7,2015
